vowels,consonants,entropy,label
6,22,4.021640636343318,dga.qakbot
7,9,3.375,dga.tinba
2,29,4.039211536948156,dga.post
10,15,3.783465189601646,dga.banjori
6,19,3.7834651896016465,dga.qakbot
7,9,3.452819531114783,dga.qakbot
7,17,3.886842188131012,dga.qakbot
4,9,3.180832987205441,dga.ramnit
9,12,3.594465636961452,dga.rovnix
6,19,3.9434651896016457,dga.banjori
3,26,3.9614292709896417,dga.post
9,21,3.9232314287976204,dga.banjori
5,10,3.373557262275186,dga.banjori
1,10,2.8453509366224368,dga.conficker
2,17,3.681880802803402,dga.cryptolocker
5,26,4.389364858634393,dga.post
6,24,4.164735178725505,dga.post
4,15,3.391892644680931,dga.murofet
3,15,3.6835423624332306,dga.cryptolocker
6,15,3.653756708287001,dga.banjori
4,22,3.8252517372886503,dga.qakbot
4,12,3.327819531114783,dga.tinba
8,12,3.484183719779189,dga.ramdo
3,11,3.6644977792004623,dga.conficker
4,13,3.734521664779752,dga.necurs
4,7,2.9139770731827523,dga.banjori
2,9,2.663532754804255,dga.banjori
5,11,3.625,dga.tinba
6,37,4.711034812791319,dga.murofet
4,15,3.826874881864637,dga.banjori
5,11,3.75,dga.tinba
4,18,3.6635327548042538,dga.ramnit
9,18,3.708048150071232,dga.banjori
6,15,3.820888851350188,dga.cryptolocker
5,24,4.32316116739216,dga.post
8,18,4.008132025833399,dga.banjori
3,13,3.625,dga.tinba
11,9,3.1464393446710153,dga.ramdo
1,9,3.121928094887362,dga.necurs
1,9,3.121928094887362,dga.necurs
3,8,3.0957952550009344,dga.simda
2,12,3.3248629576173574,dga.pykspa
3,16,3.7216117239698994,dga.ramnit
4,26,3.9110804962442782,dga.post
1,30,4.15565155225257,dga.post
6,13,3.5368867237421666,dga.banjori
6,17,3.969001629875993,dga.ramnit
3,9,3.584962500721156,dga.shifu
